mouse,perturbation,program,beta,p,n_src
Mouse1,lrrk2,Synaptic_signaling,0.13122583061843582,0.43659500006111746,2
Mouse1,lrrk2,Calcium_homeostasis,-0.08069971700796721,0.48965421352588856,2
Mouse1,lrrk2,Neuroinflammation,0.0035862202634577523,0.776168546829984,2
Mouse1,lrrk2,Interferon_response,-0.00046962919731735516,0.9411199497072051,2
Mouse1,lrrk2,Microglial_activation,-0.04579344162350851,0.3391179657881046,2
Mouse1,lrrk2,Astrocyte_reactivity,-0.10950260906475186,0.30853720355773656,2
Mouse1,lrrk2,ECM,0.03741877963339925,0.5001839814305201,2
Mouse1,lrrk2,Endolysosomal,0.025866257079853378,0.823884570306056,2
Mouse1,lrrk2,Mitochondrial_stress,-0.06146215182804996,0.46494047836748764,2
Mouse1,lrrk2,LRP1_signaling,-0.19483443628775024,0.006295931381497802,2
Mouse1,Cfap410,Synaptic_signaling,0.07697591826963023,0.6127650605869795,1
Mouse1,Cfap410,Calcium_homeostasis,0.224338889854164,0.11939566976885127,1
Mouse1,Cfap410,Neuroinflammation,-0.012209889068657954,0.14926379735747292,1
Mouse1,Cfap410,Interferon_response,-0.011617089965925781,0.008663311228649787,1
Mouse1,Cfap410,Microglial_activation,0.023700359217074904,0.5993052997514742,1
Mouse1,Cfap410,Astrocyte_reactivity,0.049148482430365785,0.6069481364466134,1
Mouse1,Cfap410,ECM,-0.05325844465400576,0.06608774414906271,1
Mouse1,Cfap410,Endolysosomal,0.04837908137089347,0.5758737029937424,1
Mouse1,Cfap410,Mitochondrial_stress,-0.14082409965351075,0.04457779743351225,1
Mouse1,Cfap410,LRP1_signaling,-0.1051449876457761,0.06995414932467041,1
Mouse2,lrrk2,Synaptic_signaling,0.02766901357217002,0.6812657063183689,23
Mouse2,lrrk2,Calcium_homeostasis,-0.0484322680541448,0.2865885214823865,23
Mouse2,lrrk2,Neuroinflammation,-0.004294403552299271,0.3002991405764928,23
Mouse2,lrrk2,Interferon_response,0.0007108362315649564,0.9408385236519594,23
Mouse2,lrrk2,Microglial_activation,-0.012206060341928986,0.5084147796816458,23
Mouse2,lrrk2,Astrocyte_reactivity,-0.03579595300412015,0.16036599868377824,23
Mouse2,lrrk2,ECM,-0.015925732773072954,0.24350629842826377,23
Mouse2,lrrk2,Endolysosomal,-0.0232144576511835,0.39137039051183914,23
Mouse2,lrrk2,Mitochondrial_stress,-0.009895051130798697,0.7326155824867973,23
Mouse2,lrrk2,LRP1_signaling,-0.005387298337252387,0.9154010703090303,23
Mouse2,Cfap410,Synaptic_signaling,-0.042662180188952126,0.5203351720540716,42
Mouse2,Cfap410,Calcium_homeostasis,-0.016517588311278707,0.6545738218745987,42
Mouse2,Cfap410,Neuroinflammation,0.0006824906336254713,0.8537780356487665,42
Mouse2,Cfap410,Interferon_response,0.004066197874775875,0.5544642016314764,42
Mouse2,Cfap410,Microglial_activation,0.01972307017883624,0.31143784679265485,42
Mouse2,Cfap410,Astrocyte_reactivity,0.014188137721309424,0.6720778510443893,42
Mouse2,Cfap410,ECM,-0.007258555746104575,0.6519291925950821,42
Mouse2,Cfap410,Endolysosomal,-0.0027300223866668673,0.9291674168585831,42
Mouse2,Cfap410,Mitochondrial_stress,0.009502209629107741,0.6824311862821372,42
Mouse2,Cfap410,LRP1_signaling,0.0359842178361865,0.47950119147328996,42
Mouse3,lrrk2,Synaptic_signaling,-0.031871985994791074,0.6998168729622665,3
Mouse3,lrrk2,Calcium_homeostasis,0.10187807447266893,0.19565848195095767,3
Mouse3,lrrk2,Neuroinflammation,0.01814407093700967,0.3364159704074902,3
Mouse3,lrrk2,Interferon_response,-0.0094380912522733,0.6464174265965803,3
Mouse3,lrrk2,Microglial_activation,-0.015009273061848653,0.47757487893880857,3
Mouse3,lrrk2,Astrocyte_reactivity,-0.018211942099389547,0.022146609096130133,3
Mouse3,lrrk2,ECM,-0.021463824180167405,0.1631069504170016,3
Mouse3,lrrk2,Endolysosomal,-0.06229031663518964,0.3437126314454122,3
Mouse3,lrrk2,Mitochondrial_stress,-0.07621507255059698,0.3125832980510291,3
Mouse3,lrrk2,LRP1_signaling,-0.013952602160239335,0.8880101135605989,3
Mouse3,Cfap410,Synaptic_signaling,-0.1328833345457262,0.10285791949412039,8
Mouse3,Cfap410,Calcium_homeostasis,0.049096001561357246,0.3331004942621839,8
Mouse3,Cfap410,Neuroinflammation,0.007827654137832134,0.11812568398884873,8
Mouse3,Cfap410,Interferon_response,-0.005681327585410859,0.7962742319441027,8
Mouse3,Cfap410,Microglial_activation,0.01652092750036138,0.42483836458587537,8
Mouse3,Cfap410,Astrocyte_reactivity,0.06859408905045221,0.00038258085536568685,8
Mouse3,Cfap410,ECM,0.016301589385043218,0.20641432641983612,8
Mouse3,Cfap410,Endolysosomal,-0.013782019063823637,0.7033465007833033,8
Mouse3,Cfap410,Mitochondrial_stress,-0.10377114350891965,0.10185929957897592,8
Mouse3,Cfap410,LRP1_signaling,-0.06094508473587847,0.17149543559780947,8
